country,total_cases
Afghanistan,5
Albania,326
Algeria,245
Andorra,0
Angola,134
Anguilla,0
Antigua and Barbuda,0
Argentina,4819
Armenia,212
Aruba,27
Australia,3423
Austria,4224
Azerbaijan,1156
Bahamas,43
Bahrain,53
Bangladesh,297
Barbados,78
Belarus,1765
Belgium,11851
Belize,35
Benin,10
Bermuda,0
Bhutan,3
Bolivia,1766
Bonaire Sint Eustatius and Saba,6
Bosnia and Herzegovina,522
Botswana,0
Brazil,5078
British Virgin Islands,0
Brunei,9
Bulgaria,1725
Burkina Faso,0
Burundi,257
Cambodia,8
Cameroon,0
Canada,6042
Cape Verde,18
Cayman Islands,47
Central African Republic,0
Chad,0
Chile,1060
China,75
Colombia,2066
Comoros,4
Congo,0
Cook Islands,0
Costa Rica,68
Cote d'Ivoire,36
Croatia,4671
Cuba,62
Curacao,39
Cyprus,650
Czechia,16738
Democratic Republic of Congo,2081
Denmark,8773
Djibouti,12
Dominica,29
Dominican Republic,206
Ecuador,719
Egypt,879
El Salvador,0
Equatorial Guinea,5
Eritrea,11
Estonia,655
Eswatini,1469
Ethiopia,296
Faeroe Islands,0
Falkland Islands,0
Fiji,11
Finland,2225
France,65713
French Polynesia,1
Gabon,55
Gambia,0
Georgia,3278
Germany,56902
Ghana,293
Gibraltar,40
Greece,4786
Greenland,41
Grenada,0
Guatemala,341
Guinea,0
Guinea-Bissau,2
Guyana,66
Haiti,14
Honduras,70
Hong Kong,1
Hungary,5506
Iceland,153
India,7974
Indonesia,205
International,0
Iran,2651
Iraq,426
Ireland,4230
Isle of Man,81
Israel,627
Italy,23190
Jamaica,25
Japan,159
Jordan,4341
Kazakhstan,627
Kenya,799
Kiribati,0
Kosovo,11
Kuwait,57
Kyrgyzstan,28
Laos,1245
Latvia,886
Lebanon,1941
Lesotho,255
Liberia,0
Libya,488
Liechtenstein,40
Lithuania,2215
Low income,4483
Luxembourg,711
Macao,0
Madagascar,0
Malawi,318
Malaysia,3900
Maldives,162
Mali,137
Malta,168
Marshall Islands,0
Mauritania,46
Mauritius,59
Mexico,5651
Micronesia (country),0
Moldova,492
Monaco,0
Mongolia,335
Montenegro,159
Montserrat,0
Morocco,221
Mozambique,975
Myanmar,229
Namibia,354
Nepal,252
Netherlands,13475
New Caledonia,0
New Zealand,95
Nicaragua,0
Niger,6
Nigeria,1424
North Macedonia,326
Norway,5741
Oman,20
Pakistan,301
Palau,0
Palestine,343
Panama,0
Papua New Guinea,4
Paraguay,78
Peru,1478
Philippines,47
Poland,24264
Portugal,5800
Qatar,165
Romania,829
Russia,28011
Rwanda,125
Saint Helena,0
Saint Kitts and Nevis,1
Saint Lucia,10
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,88
Sao Tome and Principe,0
Saudi Arabia,88
Senegal,11
Serbia,1359
Seychelles,40
Sierra Leone,11
Singapore,474
Slovakia,6550
Slovenia,1526
Solomon Islands,0
Somalia,0
South Africa,26389
South Korea,7622
South Sudan,65
Spain,27140
Sri Lanka,772
Sudan,0
Suriname,34
Sweden,4044
Switzerland,11167
Syria,70
Taiwan,7
Tajikistan,0
Tanzania,174
Thailand,3370
Timor,0
Togo,26
Tonga,0
Trinidad and Tobago,706
Tunisia,240
Turkey,19872
Turks and Caicos Islands,10
Uganda,92
Ukraine,8461
United Arab Emirates,148
United Kingdom,77966
United States,144097
Uruguay,315
Uzbekistan,209
Vanuatu,0
Vatican,0
Venezuela,355
Vietnam,15527
Wallis and Futuna,0
Yemen,6
Zambia,573
Zimbabwe,5678
